	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	De quel type est l'attaque "Rupture" ?	Elementaire							
	De quel type est l'attaque "Appel de l’hiver" ?	Elementaire							
	De quel type est l'attaque "Appel du blizzard" ?	Elementaire							
	De quel type est l'attaque "Avalanche" ?	Elementaire							
	De quel type est l'attaque "Avantage précoce" ?	Elementaire							
	De quel type est l'attaque "Barrage de pierres" ?	Elementaire							
	De quel type est l'attaque "Barrière de glace" ?	Elementaire							
	De quel type est l'attaque "Bave gluante" ?	Elementaire							
	De quel type est l'attaque "Beau fixe" ?	Elementaire							
	De quel type est l'attaque "Bouclier de feu" ?	Elementaire							
	De quel type est l'attaque "Bouclier de foudre" ?	Elementaire							
	De quel type est l'attaque "Bouillonnant" ?	Elementaire							
	De quel type est l'attaque "Boule de neige" ?	Elementaire							
	De quel type est l'attaque "Branche empoisonnée" ?	Elementaire							
	De quel type est l'attaque "Breuvage explosif" ?	Elementaire							
	De quel type est l'attaque " Brise d’automne" ?	Elementaire							
	De quel type est l'attaque "Brûlure" ?	Elementaire							
	De quel type est l'attaque "Brûlure profonde" ?	Elementaire							
	De quel type est l'attaque "Brumes apaisantes" ?	Elementaire							
	De quel type est l'attaque "Buuurp !" ?	Elementaire							
	De quel type est l'attaque "Ça chauffe" ?	Elementaire							
	De quel type est l'attaque "Canon électrique" ?	Elementaire							
	De quel type est l'attaque "Cautérisation" ?	Elementaire							
	De quel type est l'attaque "Champi-spores" ?	Elementaire							
	De quel type est l'attaque "Chant inspirant" ?	Elementaire							
	De quel type est l'attaque "Chiots de la Flamme" ?	Elementaire							
	De quel type est l'attaque "Choc cosmique" ?	Elementaire							
	De quel type est l'attaque "Choc de Sulfuras" ?	Elementaire							
	De quel type est l'attaque "Choc paralysant" ?	Elementaire							
	De quel type est l'attaque "Conflagration" ?	Elementaire							
	De quel type est l'attaque "Congélation" ?	Elementaire							
	De quel type est l'attaque "Coup de tonnerre" ?	Elementaire							
	De quel type est l'attaque "Crachat de givre" ?	Elementaire							
	De quel type est l'attaque "Décharge électrique" ?	Elementaire							
	De quel type est l'attaque "Décharger" ?	Elementaire							
	De quel type est l'attaque "Eclair" ?	Elementaire							
	De quel type est l'attaque "Ecorce" ?	Elementaire							
	De quel type est l'attaque "Ecorcefer" ?	Elementaire							
	De quel type est l'attaque "Enivrer" ?	Elementaire							
	De quel type est l'attaque "Epines" ?	Elementaire							
	De quel type est l'attaque "Esprit de l’hiver" ?	Elementaire							
	De quel type est l'attaque "Feu du Crépuscule" ?	Elementaire							
	De quel type est l'attaque "Fils de la Flamme" ?	Elementaire							
	De quel type est l'attaque "Fils de la Racine" ?	Elementaire							
	De quel type est l'attaque "Flamme sombre" ?	Elementaire							
	De quel type est l'attaque "Flot de flammes" ?	Elementaire							
	De quel type est l'attaque "Foudroyer" ?	Elementaire							
	De quel type est l'attaque "Fouet" ?	Elementaire							
	De quel type est l'attaque "Fouet empoisonné" ?	Elementaire							
	De quel type est l'attaque "Frénésie" ?	Elementaire							
	De quel type est l'attaque "Froid cinglant" ?	Elementaire							
	De quel type est l'attaque "Gangrecorruption" ?	Elementaire							
	De quel type est l'attaque "Gel instantané" ?	Elementaire							
	De quel type est l'attaque "Geyser" ?	Elementaire							
	De quel type est l'attaque "Glissade sur le ventre" ?	Elementaire							
	De quel type est l'attaque "Goudron super collant" ?	Elementaire							
	De quel type est l'attaque "Graine étourdissante" ?	Elementaire							
	De quel type est l'attaque "Graine sangsue" ?	Elementaire							
	De quel type est l'attaque "Horion de givre" ?	Elementaire							
	De quel type est l'attaque "Immolation" ?	Elementaire							
	De quel type est l'attaque "Immolation gangrenée" ?	Elementaire							
	De quel type est l'attaque "Immoler" ?	Elementaire							
	De quel type est l'attaque "Javelot de glace" ?	Elementaire							
	De quel type est l'attaque "Je s’appelle Broute !" ?	Elementaire							
	De quel type est l'attaque "Lance-flammes" ?	Elementaire							
	De quel type est l'attaque "Marteler" ?	Elementaire							
	De quel type est l'attaque "Mesures de sécurité anti-incendie" ?	Elementaire							
	De quel type est l'attaque "Morsure d’obsidienne" ?	Elementaire							
	De quel type est l'attaque "Nova de givre" ?	Elementaire							
	De quel type est l'attaque "Nova du chaos" ?	Elementaire							
	De quel type est l'attaque "Patinoire" ?	Elementaire							
	De quel type est l'attaque "Photosynthèse" ?	Elementaire							
	De quel type est l'attaque "Piège de magma" ?	Elementaire							
	De quel type est l'attaque "Planter" ?	Elementaire							
	De quel type est l'attaque "Plaqué or" ?	Elementaire							
	De quel type est l'attaque "Plumes de feu" ?	Elementaire							
	De quel type est l'attaque "Poing de la forêt" ?	Elementaire							
	De quel type est l'attaque "Pointe de glace" ?	Elementaire							
	De quel type est l'attaque "Protection de la Nature" ?	Elementaire							
	De quel type est l'attaque "Rafale hurlante" ?	Elementaire							
	De quel type est l'attaque "Reforger" ?	Elementaire							
	De quel type est l'attaque "Ruée de pierre" ?	Elementaire							
	De quel type est l'attaque "Sables mouvants" ?	Elementaire							
	De quel type est l'attaque "Sarments" ?	Elementaire							
	De quel type est l'attaque "Souffle de chagrin" ?	Elementaire							
	De quel type est l'attaque "Surcharge de cristal" ?	Elementaire							
	De quel type est l'attaque "Tir de flammes" ?	Elementaire							
	De quel type est l'attaque "Tombeau de glace" ?	Elementaire							
	De quel type est l'attaque "Trait de sable" ?	Elementaire							
	De quel type est l'attaque "Transmutation : Ennemi en feu" ?	Elementaire							
	De quel type est l'attaque "Troupeau infernal" ?	Elementaire							
	De quel type est l'attaque "Vague de magma" ?	Elementaire							
	De quel type est l'attaque "Volcan" ?	Elementaire							
	De quel type est l'attaque "Bénédiction d’Anzu" ?	Aérien							
	De quel type est l'attaque "Boules de naphtaline" ?	Aérien							
	De quel type est l'attaque "Caquètement" ?	Aérien							
	De quel type est l'attaque "Caquètement d’avertissement" ?	Aérien							
	De quel type est l'attaque "Coup de bec" ?	Aérien							
	De quel type est l'attaque "Croassement" ?	Aérien							
	De quel type est l'attaque "Cyclone" ?	Aérien							
	De quel type est l'attaque "Décollage" ?	Aérien							
	De quel type est l'attaque "Essaim de falcosaures !" ?	Aérien							
	De quel type est l'attaque "Frappe alpha" ?	Aérien							
	De quel type est l'attaque "Frappe du prédateur" ?	Aérien							
	De quel type est l'attaque "Frappe nocturne" ?	Aérien							
	De quel type est l'attaque "Frappe téméraire" ?	Aérien							
	De quel type est l'attaque "Frappe-cocon" ?	Aérien							
	De quel type est l'attaque "Frénésie de plumes" ?	Aérien							
	De quel type est l'attaque "Hargne" ?	Aérien							
	De quel type est l'attaque "Lissage de plumes" ?	Aérien							
	De quel type est l'attaque "Nuée" ?	Aérien							
	De quel type est l'attaque "Oeil de faucon" ?	Aérien							
	De quel type est l'attaque "Piqûre déroutante" ?	Aérien							
	De quel type est l'attaque "Plumes" ?	Aérien							
	De quel type est l'attaque "Plus jamais" ?	Aérien							
	De quel type est l'attaque "Poussière de phalène" ?	Aérien							
	De quel type est l'attaque "Précision" ?	Aérien							
	De quel type est l'attaque "Rafale de vent" ?	Aérien							
	De quel type est l'attaque "Rase-mottes" ?	Aérien							
	De quel type est l'attaque "Serre sauvage" ?	Aérien							
	De quel type est l'attaque "Tempête de sable" ?	Aérien							
	De quel type est l'attaque "Toxine luminescente" ?	Aérien							
	De quel type est l'attaque "Vent cinglant" ?	Aérien							
	De quel type est l'attaque "Vents sauvages" ?	Aérien							
	De quel type est l'attaque "Attaque éclair" ?	Humanoïde							
	De quel type est l'attaque "Balai" ?	Humanoïde							
	De quel type est l'attaque "Bandage" ?	Humanoïde							
	De quel type est l'attaque "Batifoler" ?	Humanoïde							
	De quel type est l'attaque "Bière frénécœur" ?	Humanoïde							
	De quel type est l'attaque "Bombe fumigène" ?	Humanoïde							
	De quel type est l'attaque "Bond héroïque" ?	Humanoïde							
	De quel type est l'attaque "Bonne bouille" ?	Humanoïde							
	De quel type est l'attaque "Bouclier réflecteur" ?	Humanoïde							
	De quel type est l'attaque "Bourbimorphose" ?	Humanoïde							
	De quel type est l'attaque "Bulle" ?	Humanoïde							
	De quel type est l'attaque "Charge" ?	Humanoïde							
	De quel type est l'attaque "Charge puissante" ?	Humanoïde							
	De quel type est l'attaque "Charge sacrée" ?	Humanoïde							
	De quel type est l'attaque "Chute de murloc" ?	Humanoïde							
	De quel type est l'attaque "Coup affaiblissant" ?	Humanoïde							
	De quel type est l'attaque "Coup de pied" ?	Humanoïde							
	De quel type est l'attaque "Coup de pied tournoyant" ?	Humanoïde							
	De quel type est l'attaque "Coup de poing" ?	Humanoïde							
	De quel type est l'attaque "Coup direct" ?	Humanoïde							
	De quel type est l'attaque "De plein fouet" ?	Humanoïde							
	De quel type est l'attaque "Déviation" ?	Humanoïde							
	De quel type est l'attaque "Don des naaru" ?	Humanoïde							
	De quel type est l'attaque "Ecraser" ?	Humanoïde							
	De quel type est l'attaque "En plein cœur" ?	Humanoïde							
	De quel type est l'attaque "Envie de câlins" ?	Humanoïde							
	De quel type est l'attaque "Épée sacrée" ?	Humanoïde							
	De quel type est l'attaque "Esquive" ?	Humanoïde							
	De quel type est l'attaque "Esquive caudale" ?	Humanoïde							
	De quel type est l'attaque "Flèche parfumée" ?	Humanoïde							
	De quel type est l'attaque "Focalisation" ?	Humanoïde							
	De quel type est l'attaque "Focalisation du chi" ?	Humanoïde							
	De quel type est l'attaque "Frappe du voile noir" ?	Humanoïde							
	De quel type est l'attaque "Frappé par l’amour" ?	Humanoïde							
	De quel type est l'attaque "Frappe sacrée" ?	Humanoïde							
	De quel type est l'attaque "Fureur des mille poings" ?	Humanoïde							
	De quel type est l'attaque "Fusil Gauss" ?	Humanoïde							
	De quel type est l'attaque "Gardien d’âme" ?	Humanoïde							
	De quel type est l'attaque "Générateur d’écran" ?	Humanoïde							
	De quel type est l'attaque "Hachoir vicieux" ?	Humanoïde							
	De quel type est l'attaque "Heure de la sieste" ?	Humanoïde							
	De quel type est l'attaque "Jarre de liquide puant" ?	Humanoïde							
	De quel type est l'attaque "Justice sacrée" ?	Humanoïde							
	De quel type est l'attaque "Lait de poule" ?	Humanoïde							
	De quel type est l'attaque "Le meilleur elekk du monde" ?	Humanoïde							
	De quel type est l'attaque "Logique" ?	Humanoïde							
	De quel type est l'attaque "Maîtrise du blocage" ?	Humanoïde							
	De quel type est l'attaque "Maraca macabre" ?	Humanoïde							
	De quel type est l'attaque "Marteau de Ban" ?	Humanoïde							
	De quel type est l'attaque "Massue" ?	Humanoïde							
	De quel type est l'attaque "Moissonneur" ?	Humanoïde							
	De quel type est l'attaque "Omnihache" ?	Humanoïde							
	De quel type est l'attaque "Pas chancelants" ?	Humanoïde							
	De quel type est l'attaque "Philtre d’amour" ?	Humanoïde							
	De quel type est l'attaque "Plaquage" ?	Humanoïde							
	De quel type est l'attaque "Plaquage au sol" ?	Humanoïde							
	De quel type est l'attaque "Poudre aveuglante" ?	Humanoïde							
	De quel type est l'attaque "Pour l’Alliance !" ?	Humanoïde							
	De quel type est l'attaque "Pour la Horde !" ?	Humanoïde							
	De quel type est l'attaque "Pour l’aventure !" ?	Humanoïde							
	De quel type est l'attaque "Prison d’ambre" ?	Humanoïde							
	De quel type est l'attaque "Punition" ?	Humanoïde							
	De quel type est l'attaque "Rage primordiale" ?	Humanoïde							
	De quel type est l'attaque "Rayon accablant" ?	Humanoïde							
	De quel type est l'attaque "Réplique" ?	Humanoïde							
	De quel type est l'attaque "Restauration" ?	Humanoïde							
	De quel type est l'attaque "Riche en fibres" ?	Humanoïde							
	De quel type est l'attaque "Salto arrière" ?	Humanoïde							
	De quel type est l'attaque "Sang de géant" ?	Humanoïde							
	De quel type est l'attaque "Souffle effroyable" ?	Humanoïde							
	De quel type est l'attaque "Surpuissance" ?	Humanoïde							
	De quel type est l'attaque "Tempête bouclier" ?	Humanoïde							
	De quel type est l'attaque "Tir d’arc" ?	Humanoïde							
	De quel type est l'attaque "Tir rapide" ?	Humanoïde							
	De quel type est l'attaque "Tornade de coups" ?	Humanoïde							
	De quel type est l'attaque "Tourbillon" ?	Humanoïde							
	De quel type est l'attaque "Vague de lumière" ?	Humanoïde							
	De quel type est l'attaque "Vieux jaune d’œuf" ?	Humanoïde							
	De quel type est l'attaque "Amplification de la magie" ?	Magie							
	De quel type est l'attaque "Annihilateur arcanique" ?	Magie							
	De quel type est l'attaque "Anomalie temporelle" ?	Magie							
	De quel type est l'attaque "Armure explosive" ?	Magie							
	De quel type est l'attaque "Arrêt du temps" ?	Magie							
	De quel type est l'attaque "Balayer" ?	Magie							
	De quel type est l'attaque "Barrière illusoire" ?	Magie							
	De quel type est l'attaque "Barrière prismatique" ?	Magie							
	De quel type est l'attaque "Bénédiction astrale" ?	Magie							
	De quel type est l'attaque "Brûler la magie" ?	Magie							
	De quel type est l'attaque "Cauchemar" ?	Magie							
	De quel type est l'attaque "Changement de phase" ?	Magie							
	De quel type est l'attaque "Chapeau magique" ?	Magie							
	De quel type est l'attaque "Consumer la magie" ?	Magie							
	De quel type est l'attaque "Contresort" ?	Magie							
	De quel type est l'attaque "Corrosion" ?	Magie							
	De quel type est l'attaque "Coup de poing phasique" ?	Magie							
	De quel type est l'attaque "Coup de tentacule" ?	Magie							
	De quel type est l'attaque "Course des Arcanes" ?	Magie							
	De quel type est l'attaque "Croc lunaire" ?	Magie							
	De quel type est l'attaque "Crochets centrifuges" ?	Magie							
	De quel type est l'attaque "Danse lunaire" ?	Magie							
	De quel type est l'attaque "Déflagration de haine" ?	Magie							
	De quel type est l'attaque "Déflagration de Néant" ?	Magie							
	De quel type est l'attaque "Déflagration des Arcanes" ?	Magie							
	De quel type est l'attaque "Déflagration psychique" ?	Magie							
	De quel type est l'attaque "Don du Voile d’hiver" ?	Magie							
	De quel type est l'attaque "Drain de puissance" ?	Magie							
	De quel type est l'attaque "Echange de vie" ?	Magie							
	De quel type est l'attaque "Eclair de jadefeu" ?	Magie							
	De quel type est l'attaque "Eclat lunaire" ?	Magie							
	De quel type est l'attaque "Eliminer" ?	Magie							
	De quel type est l'attaque "Entaille arcanique" ?	Magie							
	De quel type est l'attaque "Epée magique" ?	Magie							
	De quel type est l'attaque "Épine spectrale" ?	Magie							
	De quel type est l'attaque "Eruption de mana" ?	Magie							
	De quel type est l'attaque "Esprit combatif" ?	Magie							
	De quel type est l'attaque "Éthérien" ?	Magie							
	De quel type est l'attaque "Evanescence" ?	Magie							
	De quel type est l'attaque "Evolution" ?	Magie							
	De quel type est l'attaque "Explosion des Arcanes" ?	Magie							
	De quel type est l'attaque "Explosion du chancre" ?	Magie							
	De quel type est l'attaque "Faiblesse" ?	Magie							
	De quel type est l'attaque "Frappe des ailes" ?	Magie							
	De quel type est l'attaque "Frappe météore" ?	Magie							
	De quel type est l'attaque "Frappe spectrale" ?	Magie							
	De quel type est l'attaque "Frappe-éclair" ?	Magie							
	De quel type est l'attaque "Gain métabolique" ?	Magie							
	De quel type est l'attaque "Glandes surrénales" ?	Magie							
	De quel type est l'attaque "Graouh !" ?	Magie							
	De quel type est l'attaque "Gravité" ?	Magie							
	De quel type est l'attaque "Griffe de jade" ?	Magie							
	De quel type est l'attaque "Illuminer" ?	Magie							
	De quel type est l'attaque "Incertitude" ?	Magie							
	De quel type est l'attaque "Insanité rampante" ?	Magie							
	De quel type est l'attaque "Inspiration vertueuse" ?	Magie							
	De quel type est l'attaque "Invisibilité" ?	Magie							
	De quel type est l'attaque "Jet de pièce" ?	Magie							
	De quel type est l'attaque "Larmes lunaires" ?	Magie							
	De quel type est l'attaque "Laser" ?	Magie							
	De quel type est l'attaque "Magie sauvage" ?	Magie							
	De quel type est l'attaque "Malédiction de Sombrelune" ?	Magie							
	De quel type est l'attaque "Marteau béni" ?	Magie							
	De quel type est l'attaque "Mauvais pressentiment" ?	Magie							
	De quel type est l'attaque "Modulateur de phase" ?	Magie							
	De quel type est l'attaque "Morsure d’émeraude" ?	Magie							
	De quel type est l'attaque "Morsure d’onyx" ?	Magie							
	De quel type est l'attaque "Nettoyage" ?	Magie							
	De quel type est l'attaque "Nimbus" ?	Magie							
	De quel type est l'attaque "Onde de choc psionique" ?	Magie							
	De quel type est l'attaque "Oubli" ?	Magie							
	De quel type est l'attaque "Paquet-cadeau du Bling-o-tron" ?	Magie							
	De quel type est l'attaque "Peau de pierre" ?	Magie							
	De quel type est l'attaque "Peau-de-fer" ?	Magie							
	De quel type est l'attaque "Pire cauchemar" ?	Magie							
	De quel type est l'attaque "Pointes spirituelles" ?	Magie							
	De quel type est l'attaque "Portail" ?	Magie							
	De quel type est l'attaque "Portail du Néant" ?	Magie							
	De quel type est l'attaque "Portail du Vide" ?	Magie							
	De quel type est l'attaque "Quand les elekk voleront" ?	Magie							
	De quel type est l'attaque "Rayon" ?	Magie							
	De quel type est l'attaque "Rayon de feu spirituel" ?	Magie							
	De quel type est l'attaque "Rayons focalisés" ?	Magie							
	De quel type est l'attaque "Réaction" ?	Magie							
	De quel type est l'attaque "Reflet lenticulaire" ?	Magie							
	De quel type est l'attaque "Regard assassin" ?	Magie							
	De quel type est l'attaque "Regard paralysant" ?	Magie							
	De quel type est l'attaque "Remonter le temps" ?	Magie							
	De quel type est l'attaque "Ruée de l’âme" ?	Magie							
	De quel type est l'attaque "Ruée de peluches" ?	Magie							
	De quel type est l'attaque "Serre de l’ombre" ?	Magie							
	De quel type est l'attaque "Souhait" ?	Magie							
	De quel type est l'attaque "Stimulants" ?	Magie							
	De quel type est l'attaque "Tempête arcanique" ?	Magie							
	De quel type est l'attaque "Tempête psionique" ?	Magie							
	De quel type est l'attaque "Tir des Arcanes" ?	Magie							
	De quel type est l'attaque "Toucher limoneux" ?	Magie							
	De quel type est l'attaque "Trait de feu spirituel" ?	Magie							
	De quel type est l'attaque "Vague de puissance" ?	Magie							
	De quel type est l'attaque "Vision intérieure" ?	Magie							
	De quel type est l'attaque "Alerte !" ?	Mécanique							
	De quel type est l'attaque "Appel de la foudre" ?	Mécanique							
	De quel type est l'attaque "Armageddon" ?	Mécanique							
	De quel type est l'attaque "Attention !" ?	Mécanique							
	De quel type est l'attaque "Bombardement" ?	Mécanique							
	De quel type est l'attaque "Bombe collante" ?	Mécanique							
	De quel type est l'attaque "Bombe incendiaire" ?	Mécanique							
	De quel type est l'attaque "Cadeaux piégés" ?	Mécanique							
	De quel type est l'attaque "Canon à ions" ?	Mécanique							
	De quel type est l'attaque "Canon antéen" ?	Mécanique							
	De quel type est l'attaque "Canon Tesla" ?	Mécanique							
	De quel type est l'attaque "Champ de mines" ?	Mécanique							
	De quel type est l'attaque "Charge foreuse" ?	Mécanique							
	De quel type est l'attaque "Choc et effroi" ?	Mécanique							
	De quel type est l'attaque "Cœur brisé" ?	Mécanique							
	De quel type est l'attaque "Colère assourdissante" ?	Mécanique							
	De quel type est l'attaque "Conducteur de foudre" ?	Mécanique							
	De quel type est l'attaque "Construire une tourelle" ?	Mécanique							
	De quel type est l'attaque "Décharge" ?	Mécanique							
	De quel type est l'attaque "Décharge d’interruption" ?	Mécanique							
	De quel type est l'attaque "Découpe" ?	Mécanique							
	De quel type est l'attaque "Démolir" ?	Mécanique							
	De quel type est l'attaque "Détraqué" ?	Mécanique							
	De quel type est l'attaque "Distorsion" ?	Mécanique							
	De quel type est l'attaque "Don du grinche" ?	Mécanique							
	De quel type est l'attaque "Echappement corrompu" ?	Mécanique							
	De quel type est l'attaque "Elan" ?	Mécanique							
	De quel type est l'attaque "Exploser" ?	Mécanique							
	De quel type est l'attaque "Fluctuation" ?	Mécanique							
	De quel type est l'attaque "Fumée toxique" ?	Mécanique							
	De quel type est l'attaque "Inflation" ?	Mécanique							
	De quel type est l'attaque "Lance-roquettes" ?	Mécanique							
	De quel type est l'attaque "Leurre" ?	Mécanique							
	De quel type est l'attaque "Marteau" ?	Mécanique							
	De quel type est l'attaque "Munitions U-238" ?	Mécanique							
	De quel type est l'attaque "Piège à mâchoires" ?	Mécanique							
	De quel type est l'attaque "Pince" ?	Mécanique							
	De quel type est l'attaque "Plaque supplémentaire" ?	Mécanique							
	De quel type est l'attaque "Pluie d’or" ?	Mécanique							
	De quel type est l'attaque "Poêle à frire" ?	Mécanique							
	De quel type est l'attaque "Poing en métal" ?	Mécanique							
	De quel type est l'attaque "PRNDSÇA.EXE" ?	Mécanique							
	De quel type est l'attaque "Projectile" ?	Mécanique							
	De quel type est l'attaque "Raclée" ?	Mécanique							
	De quel type est l'attaque "Rafistolage" ?	Mécanique							
	De quel type est l'attaque "Rayon du chaos" ?	Mécanique							
	De quel type est l'attaque "Redémarrer" ?	Mécanique							
	De quel type est l'attaque "Remonté" ?	Mécanique							
	De quel type est l'attaque "Réparation" ?	Mécanique							
	De quel type est l'attaque "Robot-boum XE-321" ?	Mécanique							
	De quel type est l'attaque "Rouages grinçants" ?	Mécanique							
	De quel type est l'attaque "Secousse" ?	Mécanique							
	De quel type est l'attaque "Siphon d’anima" ?	Mécanique							
	De quel type est l'attaque "Supercharge" ?	Mécanique							
	De quel type est l'attaque "Surrégime" ?	Mécanique							
	De quel type est l'attaque "Tir de canon" ?	Mécanique							
	De quel type est l'attaque "Touche de l’Animus" ?	Mécanique							
	De quel type est l'attaque "Verrouillage" ?	Mécanique							
	De quel type est l'attaque "Voile de tempête" ?	Mécanique							
	De quel type est l'attaque "Absorber" ?	Mort-vivant							
	De quel type est l'attaque "Agonie" ?	Mort-vivant							
	De quel type est l'attaque "Ascension impie" ?	Mort-vivant							
	De quel type est l'attaque "Barrage d’os" ?	Mort-vivant							
	De quel type est l'attaque "Champignon rampant" ?	Mort-vivant							
	De quel type est l'attaque "Chant entêtant" ?	Mort-vivant							
	De quel type est l'attaque "Consumer" ?	Mort-vivant							
	De quel type est l'attaque "Coups surpuissants" ?	Mort-vivant							
	De quel type est l'attaque "Destruction de tombe" ?	Mort-vivant							
	De quel type est l'attaque "Drain sanglant" ?	Mort-vivant							
	De quel type est l'attaque "Enchaînement" ?	Mort-vivant							
	De quel type est l'attaque "Entaille de l’ombre" ?	Mort-vivant							
	De quel type est l'attaque "Explosion morbide" ?	Mort-vivant							
	De quel type est l'attaque "Festin macabre" ?	Mort-vivant							
	De quel type est l'attaque "Fête du mort" ?	Mort-vivant							
	De quel type est l'attaque "Forme de pierre" ?	Mort-vivant							
	De quel type est l'attaque "Frappe de la Gargouille" ?	Mort-vivant							
	De quel type est l'attaque "Frappe enragée" ?	Mort-vivant							
	De quel type est l'attaque "Gelée" ?	Mort-vivant							
	De quel type est l'attaque "Grand enchaînement" ?	Mort-vivant							
	De quel type est l'attaque "Griffe infectée" ?	Mort-vivant							
	De quel type est l'attaque "Hanter" ?	Mort-vivant							
	De quel type est l'attaque "Lancer de crâne" ?	Mort-vivant							
	De quel type est l'attaque "Mâchouille flippante" ?	Mort-vivant							
	De quel type est l'attaque "Malédiction funeste" ?	Mort-vivant							
	De quel type est l'attaque "Morsure d’os" ?	Mort-vivant							
	De quel type est l'attaque "Morsure fantomatique" ?	Mort-vivant							
	De quel type est l'attaque "Morsure pathogène" ?	Mort-vivant							
	De quel type est l'attaque "Mort et décomposition" ?	Mort-vivant							
	De quel type est l'attaque "Poigne de la mort" ?	Mort-vivant							
	De quel type est l'attaque "Pourriture" ?	Mort-vivant							
	De quel type est l'attaque "Prison d’os" ?	Mort-vivant							
	De quel type est l'attaque "Réanimer" ?	Mort-vivant							
	De quel type est l'attaque "Sang pestiféré" ?	Mort-vivant							
	De quel type est l'attaque "Siphon de vie" ?	Mort-vivant							
	De quel type est l'attaque "Tempête d’os" ?	Mort-vivant							
	De quel type est l'attaque "Voile mortel" ?	Mort-vivant							
	De quel type est l'attaque "Vol de vie" ?	Mort-vivant							
									
									
	Quel est l'effet de l'attaque "Déviation" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Explosion des Arcanes" ?	Attaque tous les adversaires							
	Quel est l'effet de l'attaque "Magie sauvage" ?	Augmente des degats infligés							
	Quel est l'effet de l'attaque "Rupture" ?	25% de chance d'étourdir							
	Quel est l'effet de l'attaque "Vague de puissance" ?	Inflige de lourd dégâts							
	Quel est l'effet de l'attaque "Eruption de mana" ?	Inflige des dégats sur 3 tours							
	Quel est l'effet de l'attaque "Drain de puissance" ?	Dégat infligé augmenté et dégat subit reduit							
	Quel est l'effet de l'attaque "Amplification de la magie" ?	Augmente des degats infligés							
	Quel est l'effet de l'attaque "Sombre renaissance" ?	La mascotte ressuscite si elle est tuée							
	Quel est l'effet de l'attaque "Vague de soins" ?	Soigne votre mascotte							
	Quel est l'effet de l'attaque "Tourbillonnement" ?	Inflige des dégats et immobilise							
	Quel est l'effet de l'attaque "Toucher acide" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Tornade de carpes" ?	Attaque tous les adversaires							
	Quel est l'effet de l'attaque "Tir de givre" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Raz de marée" ?	Détruit tout les objets créés							
	Quel est l'effet de l'attaque "Pompe" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Pluie purifiante" ?	Soigne vos mascottes							
	Quel est l'effet de l'attaque "Pluie acide" ?	Lance une AoE puis Pluie purifiante							
	Quel est l'effet de l'attaque "Plongeon" ?	Devient insensible puis attaque							
	Quel est l'effet de l'attaque "Peau toxique" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Morsure profonde" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Limon rampant" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Jaillissement d’eau" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Flot guérisseur" ?	Soigne les mascotte aquatique							
	Quel est l'effet de l'attaque "Emprise" ?	Empêche de changer de mascotte							
	Quel est l'effet de l'attaque "Ecrasement" ?	Ralentit la mascotte adverse							
	Quel est l'effet de l'attaque "Eclair de bière" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Du sang dans l’eau" ?	Fait saigner les cibles							
	Quel est l'effet de l'attaque "Douche de brouet" ?	Inflige des dégats croissants							
	Quel est l'effet de l'attaque "Danse de la pluie" ?	Augmente le critique et le toucher							
	Quel est l'effet de l'attaque "Coassement" ?	Annule les chance de critique							
	Quel est l'effet de l'attaque "Carapace épineuse" ?	Inflige des dégat lors d'une attaque							
	Quel est l'effet de l'attaque "Brumes de rénovation" ?	Soigne sur la durée							
	Quel est l'effet de l'attaque "Baiser de grenouille" ?	Transforme la cible en grenouille 							
	Quel est l'effet de l'attaque "Aboiement" ?	Réduit la prochaine attaque de la cible							
	Quel est l'effet de l'attaque "Aboiement surpuissant" ?	Inflige des dégats							
	Quel est l'effet de l'attaque "Aiguillonneur acéré" ?	A une chances d’empoisonner la cible							
	Quel est l'effet de l'attaque "Appel de la meute" ?	Augmentent les dégâts subis							
	Quel est l'effet de l'attaque "Barrage de bananes" ?	Inflige des dégats sur la durée							
	Quel est l'effet de l'attaque "Blessures ouvertes" ?	Augmente les dégats des attaques							
	Quel est l'effet de l'attaque "Bondir" ?	Augmente la vitesse							
	Quel est l'effet de l'attaque "Bouclier de tricorne" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Breuvage puant" ?	Empêche de fuir							
	Quel est l'effet de l'attaque "Carapace blindée" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Carapace bouclier" ?	Réduit les dégats subit							
	Quel est l'effet de l'attaque "Charge chancelante" ?	Lance une attaque en deux temps							
	Quel est l'effet de l'attaque "Charge de tricorne" ?	Attaque toujours en premier							
	Quel est l'effet de l'attaque "Cherchez la vache" ?	Insensible pendant un tours							
	Quel est l'effet de l'attaque "Coup de tête" ?	Inflige des dégats							
